44M2.3,c.55,95.7,Ribonuclease H-like motif 
44M2.3,d.58,94.7,Ferredoxin-like 
A1BG,b.1,85.1,Immunoglobulin-like beta-sandwich 
A1CF--ACF--ASP,d.58,98.3,Ferredoxin-like 
A2M--CPAMD5--FWP007,b.1,99.8,Immunoglobulin-like beta-sandwich 
A2M--CPAMD5--FWP007,a.102,87.0,alpha_alpha toroid 
A2M--CPAMD5--FWP007,b.2,99.9,Common fold of diphtheria toxin_transcription factors_cytochrome f 
A2ML1--CPAMD9,b.2,99.9,Common fold of diphtheria toxin_transcription factors_cytochrome f 
A2ML1--CPAMD9,b.1,99.7,Immunoglobulin-like beta-sandwich 
A2ML1--CPAMD9,a.102,100.0,alpha_alpha toroid 
A4GALT--A14GALT--A4GALT1,c.68,87.6,Nucleotide-diphospho-sugar transferases 
A4GNT,c.68,84.1,Nucleotide-diphospho-sugar transferases 
AAAS--ADRACALA--GL003,b.69,97.7,7-bladed beta-propeller 
AAAS--ADRACALA--GL003,b.70,95.5,8-bladed beta-propeller 
AAAS--ADRACALA--GL003,b.68,83.6,6-bladed beta-propeller 
AACS--ACSF1,e.23,100.0,Acetyl-CoA synthetase-like 
AADAC--DAC,c.69,84.8,alpha_beta-Hydrolases 
AADACL2,c.69,98.4,alpha_beta-Hydrolases 
AADACL3,c.108,81.7,HAD-like 
AADACL3,c.69,95.7,alpha_beta-Hydrolases 
AADACL4,c.69,96.2,alpha_beta-Hydrolases 
AADACL4,c.108,81.8,HAD-like 
AADAT--KAT2,c.67,93.9,PLP-dependent transferase-like 
AAED1--C9orf21,c.47,81.7,Thioredoxin fold 
AAGAB,c.37,80.8,P-loop containing nucleoside triphosphate hydrolases 
AAK1--KIAA1048,d.144,99.7,Protein kinase-like (PK-like) 
AAMDC--C11orf67--PTD015,c.1,81.5,TIM beta_alpha-barrel 
AAMDC--C11orf67--PTD015,c.3,82.9,FAD_NAD(P)-binding domain 
AAMDC--C11orf67--PTD015,c.103,98.4,MTH938-like 
AAMP,b.68,84.9,6-bladed beta-propeller 
AAMP,b.69,99.1,7-bladed beta-propeller 
AAMP,b.70,83.4,8-bladed beta-propeller 
AANAT--SNAT,d.108,93.8,Acyl-CoA N-acyltransferases (Nat) 
AARS2--AARSL--KIAA1270,b.43,97.7,Reductase_isomerase_elongation factor common domain 
AARS2--AARSL--KIAA1270,d.67,97.1,RRF_tRNA synthetase additional domain-like 
AARS2--AARSL--KIAA1270,a.203,100.0,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS) 
AARS2--AARSL--KIAA1270,d.104,100.0,Class II aaRS and biotin synthetases 
AARS,d.67,97.6,RRF_tRNA synthetase additional domain-like 
AARS,b.43,98.0,Reductase_isomerase_elongation factor common domain 
AARS,d.104,100.0,Class II aaRS and biotin synthetases 
AARS,a.203,100.0,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS) 
AARSD1,d.67,95.0,RRF_tRNA synthetase additional domain-like 
AARSD1,b.43,98.6,Reductase_isomerase_elongation factor common domain 
AASDH--ACSF4--U26--HSPC318,b.69,84.8,7-bladed beta-propeller 
AASDH--ACSF4--U26--HSPC318,a.28,80.6,Acyl carrier protein-like 
AASDH--ACSF4--U26--HSPC318,e.23,100.0,Acetyl-CoA synthetase-like 
AASDH--ACSF4--U26--HSPC318,b.70,97.2,8-bladed beta-propeller 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,d.150,95.7,4-phosphopantetheinyl transferase 
AASS,c.2,85.0,NAD(P)-binding Rossmann-fold domains 
AASS,c.23,96.1,Flavodoxin-like 
AASS,d.81,100.0,FwdE_GAPDH domain-like 
AASS,c.3,84.4,FAD_NAD(P)-binding domain 
AATK--AATYK--KIAA0641--LMR1--LMTK1,d.144,81.0,Protein kinase-like (PK-like) 
ABAT--GABAT,c.67,95.5,PLP-dependent transferase-like 
ABCA10,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCA11P--ABCA11,c.37,96.7,P-loop containing nucleoside triphosphate hydrolases 
ABCA12--ABC12,c.37,93.8,P-loop containing nucleoside triphosphate hydrolases 
ABCA13,c.37,93.2,P-loop containing nucleoside triphosphate hydrolases 
ABCA1--ABC1--CERP,c.37,93.1,P-loop containing nucleoside triphosphate hydrolases 
ABCA2--ABC2--KIAA1062,c.37,93.0,P-loop containing nucleoside triphosphate hydrolases 
ABCA3--ABC3,c.37,95.4,P-loop containing nucleoside triphosphate hydrolases 
ABCA4--ABCR,c.37,94.1,P-loop containing nucleoside triphosphate hydrolases 
ABCA5--KIAA1888,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCA6,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCA7,c.37,93.5,P-loop containing nucleoside triphosphate hydrolases 
ABCA8--KIAA0822,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCA9,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCB10,c.37,95.8,P-loop containing nucleoside triphosphate hydrolases 
ABCB10,f.37,99.9,ABC transporter transmembrane region 
ABCB11--BSEP,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCB11--BSEP,f.37,99.6,ABC transporter transmembrane region 
ABCB1--MDR1--PGY1,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCB1--MDR1--PGY1,f.37,99.7,ABC transporter transmembrane region 
ABCB4--MDR3--PGY3,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCB4--MDR3--PGY3,f.37,99.6,ABC transporter transmembrane region 
ABCB5,c.37,95.7,P-loop containing nucleoside triphosphate hydrolases 
ABCB5,f.37,99.5,ABC transporter transmembrane region 
ABCB6--MTABC3--PRP--UMAT,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCB6--MTABC3--PRP--UMAT,f.37,99.7,ABC transporter transmembrane region 
ABCB7--ABC7,c.37,96.1,P-loop containing nucleoside triphosphate hydrolases 
ABCB7--ABC7,f.37,99.6,ABC transporter transmembrane region 
ABCB8--MABC1,c.37,96.9,P-loop containing nucleoside triphosphate hydrolases 
ABCB8--MABC1,f.37,99.9,ABC transporter transmembrane region 
ABCB9--KIAA1520,c.37,96.4,P-loop containing nucleoside triphosphate hydrolases 
ABCB9--KIAA1520,f.37,99.9,ABC transporter transmembrane region 
ABCC10--MRP7--SIMRP7,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCC10--MRP7--SIMRP7,f.37,98.6,ABC transporter transmembrane region 
ABCC11--MRP8,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCC11--MRP8,f.37,98.2,ABC transporter transmembrane region 
ABCC12--MRP9,c.37,95.7,P-loop containing nucleoside triphosphate hydrolases 
ABCC12--MRP9,f.37,98.5,ABC transporter transmembrane region 
ABCC13--C21orf73--PRED6,f.37,90.8,ABC transporter transmembrane region 
ABCC1--MRP--MRP1,c.37,95.4,P-loop containing nucleoside triphosphate hydrolases 
ABCC1--MRP--MRP1,f.37,99.0,ABC transporter transmembrane region 
ABCC2--CMOAT--CMOAT1--CMRP--MRP2,f.37,99.1,ABC transporter transmembrane region 
ABCC2--CMOAT--CMOAT1--CMRP--MRP2,c.37,95.8,P-loop containing nucleoside triphosphate hydrolases 
ABCC3--CMOAT2--MLP2--MRP3,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCC3--CMOAT2--MLP2--MRP3,f.37,99.0,ABC transporter transmembrane region 
ABCC4--MRP4,c.37,96.3,P-loop containing nucleoside triphosphate hydrolases 
ABCC4--MRP4,f.37,99.2,ABC transporter transmembrane region 
ABCC5--MRP5,f.37,98.3,ABC transporter transmembrane region 
ABCC5--MRP5,c.37,95.2,P-loop containing nucleoside triphosphate hydrolases 
ABCC6--ARA--MRP6,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCC6--ARA--MRP6,f.37,98.0,ABC transporter transmembrane region 
ABCC8--HRINS--SUR--SUR1,c.37,94.1,P-loop containing nucleoside triphosphate hydrolases 
ABCC8--HRINS--SUR--SUR1,f.37,99.1,ABC transporter transmembrane region 
ABCC9--SUR2,c.37,95.2,P-loop containing nucleoside triphosphate hydrolases 
ABCC9--SUR2,f.37,98.5,ABC transporter transmembrane region 
ABCD1--ALD,c.37,94.9,P-loop containing nucleoside triphosphate hydrolases 
ABCD2--ALD1--ALDL1--ALDR--ALDRP,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCD3--PMP70--PXMP1,c.37,95.2,P-loop containing nucleoside triphosphate hydrolases 
ABCD4--PXMP1L,c.37,95.8,P-loop containing nucleoside triphosphate hydrolases 
ABCD4--PXMP1L,f.37,95.3,ABC transporter transmembrane region 
ABCF1--ABC50,c.37,96.7,P-loop containing nucleoside triphosphate hydrolases 
ABCF2--HUSSY-18,c.37,96.4,P-loop containing nucleoside triphosphate hydrolases 
ABCF3,c.37,96.1,P-loop containing nucleoside triphosphate hydrolases 
ABCG1--ABC8--WHT1,c.37,95.9,P-loop containing nucleoside triphosphate hydrolases 
ABCG2--ABCP--BCRP--BCRP1--MXR,c.37,93.9,P-loop containing nucleoside triphosphate hydrolases 
ABCG4--WHITE2,c.37,96.4,P-loop containing nucleoside triphosphate hydrolases 
