7,14-3-3 protein 
1,14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase) 
1,2-3-Bisphosphoglycerate-independent phosphoglycerate mutase- substrate-binding domain 
8,2Fe-2S ferredoxin-like 
1,2-methylcitrate dehydratase PrpD 
153,3-carboxy-cis-cis-mucoante lactonizing enzyme 
12,4Fe-4S ferredoxins 
50,4-helical cytokines 
1,4-phosphopantetheinyl transferase 
1,5-nucleotidase (syn. UDP-sugar hydrolase)- C-terminal domain 
4,5 to 3 exonuclease- C-terminal subdomain 
14,6-phosphogluconate dehydrogenase C-terminal domain-like 
25,ABC transporter transmembrane region 
2,AbfB domain 
27,Acetyl-CoA synthetase-like 
18,Acid phosphataseVanadium-dependent haloperoxidase 
25,Acid proteases 
3,Aconitase iron-sulfur domain 
6,ACP-like 
11,Actin-crosslinking proteins 
21,Actin depolymerizing proteins 
80,Actin-like ATPase domain 
25,Activating enzymes of the ubiquitin-like proteins 
2,Activator of Hsp90 ATPase- Aha1 
8,ACT-like 
10,Acyl-CoA binding protein 
15,Acyl-CoA dehydrogenase C-terminal domain-like 
15,Acyl-CoA dehydrogenase NM domain-like 
46,Acyl-CoA N-acyltransferases (Nat) 
3,AcylphosphataseBLUF domain-like 
4,ADC-like 
21,Adenine nucleotide alpha hydrolases-like 
23,A DNA-binding domain in eukaryotic transcription factors 
1,a domainsubunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase) 
21,ADP-ribosylation 
3,ADP-ribosylglycohydrolase 
1,AF0104ALDCPtd012-like 
2,AF1104-like 
1,AF1531-like 
1,AFP III-like domain 
2,Agouti-related protein 
3,A heparin-binding domain 
3,AhpD-like 
3,Alanine racemase C-terminal domain-like 
3,AlbA-like 
19,ALDH-like 
25,Aldolase 
23,Alkaline phosphatase-like 
1,all-alpha NTP pyrophosphatases 
12,Alpha-2-38-sialyltransferase CstII 
136,alphabeta-Hydrolases 
6,alphabeta knot 
9,alpha-cateninvinculin-like 
3,alpha-helical ferredoxin 
1,Alpha-hemoglobin stabilizing protein AHSP 
5,alpha-ketoacid dehydrogenase kinase- N-terminal domain 
4,Alpha-L RNA-binding motif 
5,Amidase signature (AS) enzymes 
2,A middle domain of Talin 1 
3,Amine oxidase catalytic domain 
3,Amine oxidase N-terminal region 
10,Aminoacid dehydrogenase-like- N-terminal domain 
6,Aminomethyltransferase beta-barrel domain 
1,Aminopeptidaseglucanase lid domain 
2,AMMECR1-like 
5,Ammonium transporter 
2,AMPKBI-like 
3,Amyloid beta a4 protein copper binding domain (domain 2) 
19,AN1-like Zinc finger 
