2,14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase) 
5,2-3-Bisphosphoglycerate-independent phosphoglycerate mutase- substrate-binding domain 
1,2-methylcitrate dehydratase PrpD 
25,4-bladed beta-propeller 
67,4-helical cytokines 
9,4-phosphopantetheinyl transferase 
6,5-bladed beta-propeller 
1,5-nucleotidase (syn. UDP-sugar hydrolase)- C-terminal domain 
338,6-bladed beta-propeller 
32,6-phosphogluconate dehydrogenase C-terminal domain-like 
530,7-bladed beta-propeller 
38,7-stranded beta_alpha barrel 
312,8-bladed beta-propeller 
26,ABC transporter transmembrane region 
37,Acetyl-CoA synthetase-like 
19,Acid phosphatase_Vanadium-dependent haloperoxidase 
26,Acid proteases 
4,Aconitase iron-sulfur domain 
35,Activating enzymes of the ubiquitin-like proteins 
75,Acyl carrier protein-like 
56,Acyl-CoA binding protein-like 
19,Acyl-CoA dehydrogenase NM domain-like 
87,Acyl-CoA N-acyltransferases (Nat) 
1,Ada DNA repair protein- N-terminal domain (N-Ada 10) 
175,Adenine nucleotide alpha hydrolase-like 
33,A DNA-binding domain in eukaryotic transcription factors 
2,a domain_subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase) 
31,ADP-ribosylation 
3,ADP-ribosylglycohydrolase 
3,AF0104_ALDC_Ptd012-like 
1,AF0941-like 
2,AF1104-like 
2,AF1531-like 
12,Aha1_BPI domain-like 
16,AhpD-like 
3,Aldehyde ferredoxin oxidoreductase- N-terminal domain 
22,ALDH-like 
40,Alkaline phosphatase-like 
8,all-alpha NTP pyrophosphatases 
14,Alpha-2-3_8-sialyltransferase CstII 
52,alpha_alpha toroid 
852,alpha-alpha  uperhelix 
1,alpha-Amylase inhibitor tendamistat 
17,alpha_beta-Hammerhead 
273,alpha_beta-Hydrolases 
22,alpha_beta knot 
13,Alpha-L RNA-binding motif 
63,Alpha-lytic protease prodomain-like 
2,Amb V allergen 
19,Amidase signature (AS) enzymes 
2,A middle domain of Talin 1 
13,Aminoacid dehydrogenase-like- N-terminal domain 
3,AMMECR1-like 
5,Ammonium transporter 
2,AMPKBI-like 
53,AN1-like Zinc finger 
1,An anticodon-binding domain of class I aminoacyl-tRNA synthetases 
4,Anaphylotoxins (complement system) 
17,Annexin 
25,Another 3-helical bundle 
3,Antibiotic binding domain of TipA-like multidrug resistance regulators 
32,Anticodon-binding domain-like 
20,Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases 
2,Antifungal protein (AGAFP) 
5,Anti-LPS factor_recA domain 
2,Anti-sigma factor AsiA 
1,Api92-like 
4,Apolipophorin-III 
18,Aquaporin-like 
7,AraD_HMP-PK domain-like 
50,ArfGap_RecO-like zinc finger 
16,Arginase_deacetylase 
3,Argininosuccinate synthetase- C-terminal domain 
5,Aromatic aminoacid monoxygenases- catalytic and oligomerization domains 
2,Arp2_3 complex 21 kDa subunit ARPC3 
1,At5g01610-like 
25,ATC-like 
1,ATP12-like 
69,ATPase domain of HSP90 chaperone_DNA topoisomerase II_histidine kinase 
3,ATP-dependent DNA ligase DNA-binding domain 
3,ATPD N-terminal domain-like 
2,AtpF-like 
65,ATP-grasp 
1,ATP synthase B chain-like 
1,ATP synthase D chain-like 
1,Ava3019-like 
1,A virus capsid protein alpha-helical domain 
7,AXH domain 
70,Bacillus chorismate mutase-like 
1,Bacillus phage protein 
2,Bacterial fluorinating enzyme- C-terminal domain 
1,Bacterial fluorinating enzyme- N-terminal domain 
1,Baculovirus p35 protein 
111,BAR_IMD domain-like 
34,Barrel-sandwich hybrid 
3,Barstar-like 
5,BB1717-like 
104,B-box zinc-binding domain 
6,Bcr-Abl oncoprotein oligomerization domain 
8,BEACH domain 
10,beta and beta-prime subunits of DNA dependent RNA-polymerase 
1327,beta-beta-alpha zinc fingers 
3,beta-catenin-interacting protein ICAT 
65,beta-clip 
1,Beta-galactosidase LacA- domain 3 
365,beta-Grasp (ubiquitin-like) 
283,beta-hairpin-alpha-hairpin repeat 
13,beta-lactamase_transpeptidase-like 
57,beta-Prism I 
7,beta-Prism II 
83,beta-Trefoil 
1,BH2638-like 
1,BH3618-like 
1,BLIP-like 
17,Blood coagulation inhibitor (disintegrin) 
3,BLRF2-like 
21,BPTI-like 
1,BRCA2 helical domain 
2,BRCA2 tower domain 
33,BRCT domain 
95,Bromodomain-like 
7,BSD domain-like 
11,BTG domain-like 
1,BTV NS2-like ssRNA-binding domain 
178,C2 domain-like 
33,Calcium ATPase- transmembrane domain M 
13,Calpain large subunit- middle domain (domain III) 
10,Carbamate kinase-like 
5,Carbamoyl phosphate synthetase- large subunit connection domain 
12,Carbohydrate phosphatase 
18,Carbonic anhydrase 
11,Carbon-nitrogen hydrolase 
2,Carboxypeptidase inhibitor 
25,Caspase-like 
12,Cation efflux protein transmembrane domain-like 
34,CBS-domain pair 
63,CCCH zinc finger 
9,CCHHC domain 
3,Cdc48 domain 2-like 
2,Cell cycle regulatory proteins 
1,Cellulose docking domain- dockering 
1,ChaB-like 
107,CH domain-like 
1,CheC-like 
23,Chelatase-like 
2,Cholecystokinin A receptor- N-domain 
2,Chorismate mutase II 
1,Chorismate synthase- AroC 
229,CHY zinc finger-like 
2,CI-2 family of serine protease inhibitors 
3,Citrate synthase 
46,Class II aaRS and biotin synthetases 
2,Class II MHC-associated invariant chain ectoplasmic trimerization domain 
9,Clc chloride channel 
59,ClpP_crotonase 
4,ClpS-like 
2,CNF1_YfiH-like putative cysteine hydrolases 
18,CoA-dependent acyltransferases 
12,CoA-transferase family III (CaiB_BaiF) 
1,CobE_GbiG C-terminal domain-like 
17,CO dehydrogenase flavoprotein C-domain-like 
7,CO dehydrogenase ISP C-domain like 
1,CofD-like 
1,CofE-like 
1,Colicin D_E5 nuclease domain 
96,Common fold of diphtheria toxin_transcription factors_cytochrome f 
75,Complement control module_SCR domain 
26,Composite domain of metallo-dependent hydrolases 
239,Concanavalin A-like lectins_glucanases 
5,Connexin43 
3,Coproporphyrinogen III oxidase 
1,CorA soluble domain-like 
1,Core binding factor beta- CBF 
2,Coronavirus NSP10-like 
14,Creatinase_aminopeptidase 
5,Crisp domain-like 
4,Crustacean CHH_MIH_GIH neurohormone 
3,Cryptochrome_photolyase FAD-binding domain 
3,Cryptochrome_photolyase- N-terminal domain 
4,Ctag_Cox11 
2,C-terminal autoproteolytic domain of nucleoporin nup98 
1,C-terminal domain of DFF45_ICAD (DFF-C domain) 
3,C-terminal domain of mollusc hemocyanin 
110,C-type lectin-like 
48,CUB-like 
9,Cullin homology domain 
67,Cupredoxin-like 
1,Cyanovirin-N 
54,Cyclin-like 
28,Cyclophilin-like 
102,Cystatin-like 
5,Cysteine alpha-hairpin motif 
179,Cysteine proteinases 
7,Cysteine-rich DNA binding domain- (DM domain) 
193,Cysteine-rich domain 
4,Cysteine zipper 
74,Cystine-knot cytokines 
3,CYTH-like phosphatases 
39,Cytidine deaminase-like 
25,Cytochrome b5-like heme_steroid binding domain 
115,Cytochrome c 
7,Cytochrome c oxidase subunit h 
1,Cytochrome c oxidase subunit III-like 
1,Cytochrome c oxidase subunit I-like 
80,Cytochrome P450 
3,Cytolysin_lectin 
2,DAK1_DegV-like 
6,D-aminoacid aminotransferase-like PLP-dependent enzymes 
72,DBL homology domain (DH-domain) 
14,DCoH-like 
4,Dcp2 domain-like 
108,DEATH domain 
50,Defensin-like 
10,Dehydroquinate synthase-like 
1,Dextranase- N-terminal domain 
2,DhaL-like 
2,DHH phosphoesterases 
46,DHS-like NAD_FAD-binding domain 
18,Diaminopimelate epimerase-like 
5,Di-copper centre-containing domain 
10,Dihydrofolate reductase-like 
11,Dimerisation interlock 
20,Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit 
6,DinB_YfiT-like putative metalloenzymes 
4,DLC 
2,DmpA_ArgJ-like 
19,DNA-binding domain 
1,DNA-binding domain of Mlu1-box binding protein MBP1 
5,DNA-binding protein Tfx 
2,DNA-binding pseudobarrel domain 
8,DNA breaking-rejoining enzymes 
21,DNA clamp 
4,DNA damage-inducible protein DinI 
34,DNA-glycosylase 
13,DnaJ_Hsp40 cysteine-rich domain 
11,DNA methylase specificity domain 
3,DNA mismatch repair protein MutL 
3,DNA polymerase III chi subunit 
1,DNA polymerase III psi subunit 
1,DNA polymerase III theta subunit-like 
2,DNA primase core 
2,DNA primase DnaG- C-terminal domain 
10,DNA repair protein MutS- domain III 
1004,DNA_RNA-binding 3-helical bundle 
27,DNA_RNA polymerases 
39,DNase I-like 
1,DNA terminal protein 
2,DNA topoisomerase IV- alpha subunit 
23,Dodecin subunit-like 
18,Domain of alpha and beta subunits of F1 ATP synthase-like 
4,Domain of poly(ADP-ribose) polymerase 
21,Double Clp-N motif 
18,Double psi beta-barrel 
7,Double-split beta-barrel 
173,Double-stranded beta-helix 
57,dsRBD-like 
5,DsrC- the gamma subunit of dissimilatory sulfite reductase 
3,DsrEFH-like 
3,DTD-like 
4,Duffy binding domain-like 
9,DUSP-like 
1,Dystroglycan- domain 2 
17,E2F-DP heterodimerization region 
1,E2 regulatory- transactivation domain 
1,E6 C-terminal domain-like 
2,E7 C-terminal domain-like 
13,EB1 dimerisation domain-like 
1,Ecotin- trypsin inhibitor 
1,Ectatomin subunits 
1,EF2947-like 
359,EF Hand-like 
14,EF-Ts domain-like 
7,eIF1-like 
6,eIF4e-like 
24,Elongation factor_aminomethyltransferase common domain 
2,EndoU-like 
13,Enolase N-terminal domain-like 
1,ENT-like 
