44M2.3,c.55,95.7,Ribonuclease H-like motif 
44M2.3,d.58,94.7,Ferredoxin-like 
A1BG,b.1,85.1,Immunoglobulin-like beta-sandwich 
A1CF--ACF--ASP,d.58,98.3,Ferredoxin-like 
A2M--CPAMD5--FWP007,a.102,100.0,alpha_alpha toroid 
A2M--CPAMD5--FWP007,b.1,99.8,Immunoglobulin-like beta-sandwich 
A2M--CPAMD5--FWP007,c.37,54.1,P-loop containing nucleoside triphosphate hydrolases 
A2M--CPAMD5--FWP007,b.2,99.9,Common fold of diphtheria toxin_transcription factors_cytochrome f 
A2M--CPAMD5--FWP007,d.32,57.6,Glyoxalase_Bleomycin resistance protein_Dihydroxybiphenyl dioxygenase 
A2ML1--CPAMD9,a.102,56.1,alpha_alpha toroid 
A2ML1--CPAMD9,b.1,99.7,Immunoglobulin-like beta-sandwich 
A2ML1--CPAMD9,b.2,99.9,Common fold of diphtheria toxin_transcription factors_cytochrome f 
A4GALT--A14GALT--A4GALT1,c.68,68.4,Nucleotide-diphospho-sugar transferases 
A4GNT,c.68,84.1,Nucleotide-diphospho-sugar transferases 
A4GNT,a.26,56.6,4-helical cytokines 
AAAS--ADRACALA--GL003,b.68,95.6,6-bladed beta-propeller 
AAAS--ADRACALA--GL003,b.70,96.5,8-bladed beta-propeller 
AAAS--ADRACALA--GL003,b.69,96.0,7-bladed beta-propeller 
AACS--ACSF1,e.23,100.0,Acetyl-CoA synthetase-like 
AACS--ACSF1,c.1,61.2,TIM beta_alpha-barrel 
AACS--ACSF1,a.60,71.0,SAM domain-like 
AACS--ACSF1,d.80,51.8,Tautomerase_MIF 
AACS--ACSF1,d.242,59.0,Obg GTP-binding protein C-terminal domain 
AADAC--DAC,c.69,96.9,alpha_beta-Hydrolases 
AADAC--DAC,c.108,61.5,HAD-like 
AADAC--DAC,c.45,58.9,(Phosphotyrosine protein) phosphatases II 
AADACL2,c.69,97.1,alpha_beta-Hydrolases 
AADACL2,c.108,65.8,HAD-like 
AADACL3,c.69,87.4,alpha_beta-Hydrolases 
AADACL3,c.108,82.7,HAD-like 
AADACL4,c.69,94.0,alpha_beta-Hydrolases 
AADACL4,c.108,74.5,HAD-like 
AADAT--KAT2,c.67,96.2,PLP-dependent transferase-like 
AADAT--KAT2,c.57,67.5,Molybdenum cofactor biosynthesis proteins 
AAED1--C9orf21,a.4,59.5,DNA_RNA-binding 3-helical bundle 
AAED1--C9orf21,d.110,52.1,Profilin-like 
AAED1--C9orf21,c.47,51.9,Thioredoxin fold 
AAED1--C9orf21,d.108,54.5,Acyl-CoA N-acyltransferases (Nat) 
AAGAB,d.106,53.9,SCP-like 
AAGAB,c.37,66.1,P-loop containing nucleoside triphosphate hydrolases 
AAGAB,e.17,67.3,D-aminoacid aminotransferase-like PLP-dependent enzymes 
AAGAB,c.23,52.1,Flavodoxin-like 
AAK1--KIAA1048,d.144,91.7,Protein kinase-like (PK-like) 
AAK1--KIAA1048,b.62,66.1,Cyclophilin-like 
AAMDC--C11orf67--PTD015,c.1,55.4,TIM beta_alpha-barrel 
AAMDC--C11orf67--PTD015,c.34,60.7,Homo-oligomeric flavin-containing Cys decarboxylases- HFCD 
AAMDC--C11orf67--PTD015,d.58,65.2,Ferredoxin-like 
AAMDC--C11orf67--PTD015,c.4,61.7,Nucleotide-binding domain 
AAMDC--C11orf67--PTD015,c.108,56.5,HAD-like 
AAMDC--C11orf67--PTD015,c.94,50.4,Periplasmic binding protein-like II 
AAMDC--C11orf67--PTD015,c.2,75.6,NAD(P)-binding Rossmann-fold domains 
AAMDC--C11orf67--PTD015,c.3,64.4,FAD_NAD(P)-binding domain 
AAMDC--C11orf67--PTD015,d.126,64.2,Pentein- beta_alpha-propeller 
AAMDC--C11orf67--PTD015,c.55,54.4,Ribonuclease H-like motif 
AAMDC--C11orf67--PTD015,c.26,58.7,Adenine nucleotide alpha hydrolase-like 
AAMDC--C11orf67--PTD015,c.23,64.0,Flavodoxin-like 
AAMDC--C11orf67--PTD015,c.103,98.4,MTH938-like 
AAMDC--C11orf67--PTD015,c.5,75.4,MurCD N-terminal domain 
AAMDC--C11orf67--PTD015,c.8,53.7,The "swivelling" beta_beta_alpha domain 
AAMDC--C11orf67--PTD015,d.168,68.0,Succinate dehydrogenase_fumarate reductase flavoprotein- catalytic domain 
AAMDC--C11orf67--PTD015,c.98,74.4,MurF and HprK N-domain-like 
AAMP,e.52,53.3,NAD kinase_diacylglycerol kinase-like 
AAMP,b.69,75.8,7-bladed beta-propeller 
AAMP,b.70,68.0,8-bladed beta-propeller 
AAMP,b.68,84.9,6-bladed beta-propeller 
AAMP,b.1,53.1,Immunoglobulin-like beta-sandwich 
AANAT--SNAT,d.108,68.6,Acyl-CoA N-acyltransferases (Nat) 
AAR2--C20orf4--CGI-23--PRO0225,d.92,51.8,Zincin-like 
AARS2--AARSL--KIAA1270,d.67,97.1,RRF_tRNA synthetase additional domain-like 
AARS2--AARSL--KIAA1270,b.43,97.7,Reductase_isomerase_elongation factor common domain 
AARS2--AARSL--KIAA1270,a.203,100.0,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS) 
AARS2--AARSL--KIAA1270,d.104,100.0,Class II aaRS and biotin synthetases 
AARS,a.203,100.0,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS) 
AARS,d.67,99.5,RRF_tRNA synthetase additional domain-like 
AARS,b.43,81.6,Reductase_isomerase_elongation factor common domain 
AARS,d.104,100.0,Class II aaRS and biotin synthetases 
AARS,d.80,56.5,Tautomerase_MIF 
AARSD1,d.67,95.0,RRF_tRNA synthetase additional domain-like 
AARSD1,b.43,98.6,Reductase_isomerase_elongation factor common domain 
AASDH--ACSF4--U26--HSPC318,a.28,89.0,Acyl carrier protein-like 
AASDH--ACSF4--U26--HSPC318,b.69,95.6,7-bladed beta-propeller 
AASDH--ACSF4--U26--HSPC318,b.70,97.2,8-bladed beta-propeller 
AASDH--ACSF4--U26--HSPC318,e.23,100.0,Acetyl-CoA synthetase-like 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,d.150,99.4,4-phosphopantetheinyl transferase 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,c.47,54.2,Thioredoxin fold 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,a.89,73.1,Methyl-coenzyme M reductase alpha and beta chain C-terminal domain 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,b.146,50.7,Ctag_Cox11 
AASS,c.30,76.2,PreATP-grasp domain 
AASS,c.2,81.5,NAD(P)-binding Rossmann-fold domains 
AASS,d.81,100.0,FwdE_GAPDH domain-like 
AASS,c.111,80.0,Activating enzymes of the ubiquitin-like proteins 
AASS,c.23,81.2,Flavodoxin-like 
AASS,c.5,58.5,MurCD N-terminal domain 
AASS,c.3,51.9,FAD_NAD(P)-binding domain 
AASS,c.37,52.6,P-loop containing nucleoside triphosphate hydrolases 
AASS,c.4,78.6,Nucleotide-binding domain 
AATK--AATYK--KIAA0641--LMR1--LMTK1,d.144,99.8,Protein kinase-like (PK-like) 
ABAT--GABAT,c.67,51.6,PLP-dependent transferase-like 
ABAT--GABAT,d.143,67.8,SAICAR synthase-like 
ABAT--GABAT,c.37,67.4,P-loop containing nucleoside triphosphate hydrolases 
ABCA10,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCA11P--ABCA11,c.37,97.0,P-loop containing nucleoside triphosphate hydrolases 
ABCA12--ABC12,c.37,93.8,P-loop containing nucleoside triphosphate hydrolases 
ABCA13,c.37,93.8,P-loop containing nucleoside triphosphate hydrolases 
ABCA1--ABC1--CERP,c.37,93.0,P-loop containing nucleoside triphosphate hydrolases 
ABCA2--ABC2--KIAA1062,c.37,93.1,P-loop containing nucleoside triphosphate hydrolases 
ABCA3--ABC3,c.37,94.2,P-loop containing nucleoside triphosphate hydrolases 
ABCA4--ABCR,c.37,94.1,P-loop containing nucleoside triphosphate hydrolases 
ABCA5--KIAA1888,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCA6,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCA7,c.37,94.4,P-loop containing nucleoside triphosphate hydrolases 
ABCA8--KIAA0822,c.37,95.9,P-loop containing nucleoside triphosphate hydrolases 
ABCA9,c.37,95.7,P-loop containing nucleoside triphosphate hydrolases 
ABCB10,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCB10,f.37,99.9,ABC transporter transmembrane region 
ABCB11--BSEP,c.37,95.3,P-loop containing nucleoside triphosphate hydrolases 
ABCB11--BSEP,f.37,99.6,ABC transporter transmembrane region 
ABCB1--MDR1--PGY1,c.37,96.0,P-loop containing nucleoside triphosphate hydrolases 
ABCB1--MDR1--PGY1,f.37,99.7,ABC transporter transmembrane region 
ABCB4--MDR3--PGY3,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
ABCB4--MDR3--PGY3,f.37,99.6,ABC transporter transmembrane region 
ABCB5,c.37,96.4,P-loop containing nucleoside triphosphate hydrolases 
ABCB5,f.37,99.5,ABC transporter transmembrane region 
ABCB6--MTABC3--PRP--UMAT,c.37,95.6,P-loop containing nucleoside triphosphate hydrolases 
